icao,iata,name,city,state,country,elevation,lat,lon,tz
AYMC,MYX,Menyamya Airport,Menyamya,Morobe,PG,3880,-7.211666667,146.0193611,Pacific/Port_Moresby
AYMD,MAG,Madang Airport,Madang,Madang,PG,20,-5.207079887,145.7890015,Pacific/Port_Moresby
AYMH,HGU,Mount Hagen Kagamuga Airport,Mount Hagen,Western-Highlands,PG,5388,-5.826789856,144.2960052,Pacific/Port_Moresby
AYMI,MXK,Mindik Airport,Mindik,Morobe,PG,4200,-6.471666667,147.4411389,Pacific/Port_Moresby
AYML,GUV,Mougulu Airport,Mougulu,Western-Province,PG,825,-6.280859,142.420775,Pacific/Port_Moresby
AYMN,MDU,Mendi Airport,,Southern-Highlands,PG,5680,-6.147739887,143.6569977,Pacific/Port_Moresby
AYMO,MAS,Momote Airport,,Manus,PG,12,-2.061889887,147.423996,Pacific/Port_Moresby
AYMR,MXH,Moro Airport,Moro,Southern-Highlands,PG,2740,-6.363329887,143.2380066,Pacific/Port_Moresby
AYMS,MIS,Misima Island Airport,Misima Island,Milne-Bay,PG,26,-10.6892004,152.8379974,Pacific/Port_Moresby
AYNE,GBF,Negarbo(Negabo) Airport,Negarbo,Chimbu,PG,4500,-6.567778,144.703058,Pacific/Port_Moresby
AYNG,MFO,Manguna Airport,Manguna,East-New-Britain,PG,187,-5.577778,151.792333,Pacific/Port_Moresby
AYNU,UKU,Nuku Airport,Nuku,Sandaun,PG,870,-3.676651,142.484334,Pacific/Port_Moresby
AYNZ,LAE,Lae Nadzab Airport,Nadzab,Morobe,PG,239,-6.569829941,146.7259979,Pacific/Port_Moresby
AYOG,OGE,Ogeranang Airport,,Morobe,PG,5850,-6.46675,147.3641667,Pacific/Port_Moresby
AYOM,OSE,,,Morobe,PG,2540,-7.827777778,147.0806389,Pacific/Port_Moresby
AYPD,PDI,Pindiu Airport,Pindiu,Morobe,PG,2995,-6.445138889,147.5158333,Pacific/Port_Moresby
AYPY,POM,Port Moresby Jacksons International Airport,Port Moresby,National-Capital,PG,146,-9.443380356,147.2200012,Pacific/Port_Moresby
AYQA,KRJ,Karawari Airstrip,,East-Sepik,PG,70,-4.596666667,143.5225,Pacific/Port_Moresby
AYRG,RMN,Rumginae Airport,,Western-Province,PG,160,-5.897222222,141.2716667,Pacific/Port_Moresby
AYRI,KMR,Karimui Airport,Karimui,Chimbu,PG,3640,-6.4921,144.823,Pacific/Port_Moresby
AYSA,SBE,Suabi Airport,,Western-Province,PG,465,-6.104444444,142.2783333,Pacific/Port_Moresby
AYSE,NIS,Simberi Airport,Simberi Island,New-Ireland,PG,10,-2.662222222,151.9977778,Pacific/Port_Moresby
AYSG,SIL,Sila Airport,Sila Mission,Northern-Province,PG,2230,-9.073555556,148.38925,Pacific/Port_Moresby
AYSJ,SIM,Simbai Airport,Simbai,Western-Highlands,PG,5804,-5.278611111,144.5447222,Pacific/Port_Moresby
AYSU,SKC,Suki Airport,Suki,Western-Province,PG,24,-8.0466,141.7222,Pacific/Port_Moresby
AYTA,TIZ,Tari Airport,Tari,Southern-Highlands,PG,5500,-5.84499979,142.947998,Pacific/Port_Moresby
AYTB,TBG,Tabubil Airport,Tabubil,Western-Province,PG,1570,-5.27861023,141.2259979,Pacific/Port_Moresby
AYTE,TFM,Telefomin Airport,Telefomin,Western-Province,PG,4950,-5.126080464,141.641922,Pacific/Port_Moresby
AYTI,TPI,Tapini Airport,Tapini,Central-Province,PG,3100,-8.356666667,146.9891667,Pacific/Port_Moresby
AYTJ,TAJ,Tadji Airport,Aitape,Sandaun,PG,33,-3.198191804,142.4309635,Pacific/Port_Moresby
AYTK,RAB,Tokua Airport,Tokua,East-New-Britain,PG,32,-4.340459824,152.3800049,Pacific/Port_Moresby
AYTN,TKW,Tekin Airport,Tekin,Sandaun,PG,5785,-5.243666667,142.1651944,Pacific/Port_Moresby
AYTU,TFI,Tufi Airport,Tufi,Northern-Province,PG,85,-9.075954437,149.3198395,Pacific/Port_Moresby
AYVN,VAI,Vanimo Airport,,Sandaun,PG,10,-2.697170019,141.302002,Pacific/Port_Moresby
AYWB,WAO,Wabo Airport,Wabo,Gulf,PG,132,-6.989444444,145.0751111,Pacific/Port_Moresby
AYWD,WBM,Wapenamanda Airport,,Enga,PG,5889,-5.643300057,143.8950043,Pacific/Port_Moresby
AYWG,AGL,Wanigela Airport,,Northern-Province,PG,53,-9.3375,149.1555556,Pacific/Port_Moresby
AYWK,WWK,Wewak International Airport,Wewak,East-Sepik,PG,19,-3.583830118,143.6690063,Pacific/Port_Moresby
AYWO,WOA,Wonenara Airport,Wonenara,Eastern-Highlands,PG,5028,-6.796861111,145.8919444,Pacific/Port_Moresby
AYWS,WSU,Wasu Airport,Wasu,Morobe,PG,34,-5.961709449,147.1982253,Pacific/Port_Moresby
AYWT,WTP,Woitape Airport,Fatima Mission,Central-Province,PG,5200,-8.545833333,147.2525,Pacific/Port_Moresby
AYWU,WUG,Wau Airport,Wau,Morobe,PG,3600,-7.345555556,146.7186111,Pacific/Port_Moresby
BGAA,JEG,Aasiaat Airport,Aasiaat,Qaasuitsup,GL,74,68.72180176,-52.78469849,America/Godthab
BGBW,UAK,Narsarsuaq Airport,Narsarsuaq,Kujalleq,GL,112,61.16049957,-45.42599869,America/Godthab
BGCO,CNP,Neerlerit Inaat Airport,Neerlerit Inaat,Sermersooq,GL,45,70.74310303,-22.65049934,America/Scoresbysund
BGGH,GOH,Godthaab / Nuuk Airport,Nuuk,,GL,283,64.19090271,-51.67810059,America/Godthab
BGJN,JAV,Ilulissat Airport,Ilulissat,,GL,95,69.24320221,-51.05709839,America/Godthab
BGKK,KUS,Kulusuk Airport,Kulusuk,Sermersooq,GL,117,65.57360077,-37.12360001,America/Godthab
BGMQ,JSU,Maniitsoq Airport,Maniitsoq,,GL,91,65.41249847,-52.93939972,America/Godthab
BGPT,JFR,Paamiut Airport,Paamiut,,GL,120,62.01473618,-49.67093658,America/Godthab
BGQQ,NAQ,Qaanaaq Airport,Qaanaaq,,GL,51,77.48860168,-69.38870239,America/Thule
BGSF,SFJ,Kangerlussuaq Airport,Kangerlussuaq,Qeqqata,GL,165,67.0122219,-50.71160316,America/Godthab
BGSS,JHS,Sisimiut Airport,Sisimiut,,GL,33,66.95130157,-53.72930145,America/Godthab
BGTL,THU,Thule Air Base,Thule,Qaasuitsup,GL,251,76.53119659,-68.70320129,America/Thule
BGUK,JUV,Upernavik Airport,Upernavik,,GL,414,72.79019928,-56.13059998,America/Godthab
BGUQ,JQA,Qaarsut Airport,Uummannaq,,GL,289,70.73419952,-52.69620132,America/Godthab
BIAR,AEY,Akureyri Airport,Akureyri,Northeast,IS,6,65.66000366,-18.0727005,Atlantic/Reykjavik
BIBD,BIU,Bildudalur Airport,Bildudalur,Westfjords,IS,18,65.64129639,-23.5461998,Atlantic/Reykjavik
BIBF,BGJ,Borgarfjorður eystri Airport,Borgarfjorður eystri,East,IS,80,65.5164032,-13.80500031,Atlantic/Reykjavik
BIBK,BJD,Bakkafjorður Airport,Bakkafjorður,Northeast,IS,14,66.02189636,-14.82439995,Atlantic/Reykjavik
BIBL,BLO,Hjaltabakki Airport,Blonduos,Northwest,IS,131,65.64499664,-20.28750038,Atlantic/Reykjavik
BIBR,BQD,Buðardalur Airport,Buðardalur,West,IS,131,65.07530212,-21.8003006,Atlantic/Reykjavik
BIBV,BXV,Breiðdalsvik Airport,Breiðdalsvik,East,IS,8,64.79000092,-14.02280045,Atlantic/Reykjavik
BIDV,DJU,Djupivogur Airport,Djupivogur,East,IS,9,64.64420319,-14.28279972,Atlantic/Reykjavik
BIEG,EGS,Egilsstaðir Airport,Egilsstaðir,East,IS,76,65.28330231,-14.40139961,Atlantic/Reykjavik
BIFF,FAS,Faskruðsfjorður Airport,Faskruðsfjorður,East,IS,15,64.93170166,-14.06060028,Atlantic/Reykjavik
BIFM,FAG,Fagurholsmyri Airport,Fagurholsmyri,East,IS,56,63.87469864,-16.64109993,Atlantic/Reykjavik
BIGF,GUU,Grundarfjorður Airport,Grundarfjorður,West,IS,17,64.99140167,-23.22470093,Atlantic/Reykjavik
BIGJ,GJR,Gjogur Airport,Gjogur,Westfjords,IS,83,65.99530029,-21.32690048,Atlantic/Reykjavik
BIGR,GRY,Grimsey Airport,Grimsey,Northeast,IS,66,66.5458,-18.0173,Atlantic/Reykjavik
BIHK,HVK,Holmavik Airport,Holmavik,Westfjords,IS,90,65.70469666,-21.69639969,Atlantic/Reykjavik
BIHN,HFN,Hornafjordur Airport,Hornafjordur,East,IS,24,64.29560089,-15.22719955,Atlantic/Reykjavik
BIHT,FLI,Holt Airport,Flateyri,Westfjords,IS,10,66.01418043,-23.4416914,Atlantic/Reykjavik
BIHU,HZK,Husavik Airport,Husavik,Northeast,IS,48,65.95230103,-17.4260006,Atlantic/Reykjavik
BIHV,HVM,Krokstaðarmelar Airport,Hvammstangi,Northwest,IS,164,65.2664032,-20.84690094,Atlantic/Reykjavik
BIID,HLO,Ingjaldssanður Airport,Onundarfjorður,Westfjords,IS,70,66.05000305,-23.69610024,Atlantic/Reykjavik
BIIS,IFJ,Isafjorður Airport,Isafjorður,Westfjords,IS,8,66.05809784,-23.13529968,Atlantic/Reykjavik
BIKF,KEF,Keflavik International Airport,Reykjavik,Southern-Peninsula,IS,171,63.98500061,-22.60560036,Atlantic/Reykjavik
BIKP,OPA,Kopasker Airport,Kopasker,Northeast,IS,20,66.31079865,-16.4666996,Atlantic/Reykjavik
BIKR,SAK,Sauðarkrokur Airport,Sauðarkrokur,Northwest,IS,8,65.73169708,-19.57279968,Atlantic/Reykjavik
BINF,NOR,Norðfjorður Airport,Norðfjorður,East,IS,13,65.13189697,-13.74639988,Atlantic/Reykjavik
BIOF,OFJ,Olafsfjorður Airport,Olafsfjorður,Northeast,IS,32,66.08329773,-18.66670036,Atlantic/Reykjavik
BIPA,PFJ,Patreksfjordur Airport,Patreksfjordur,Westfjords,IS,11,65.55580139,-23.96500015,Atlantic/Reykjavik
BIRE,RHA,Reykholar Airport,Reykholar,Westfjords,IS,60,65.45262909,-22.20611572,Atlantic/Reykjavik
BIRF,OLI,Rif Airport,Rif,West,IS,18,64.91139984,-23.82309914,Atlantic/Reykjavik
BIRG,RFN,Raufarhofn Airport,Raufarhofn,Northeast,IS,39,66.40640259,-15.91829968,Atlantic/Reykjavik
BIRK,RKV,Reykjavik Airport,Reykjavik,Capital-Region,IS,48,64.12999725,-21.94059944,Atlantic/Reykjavik
BIRL,MVA,Reykjahlið Airport,Myvatn,Northeast,IS,1030,65.65579987,-16.91810036,Atlantic/Reykjavik
BISI,SIJ,Siglufjordur Airport,Siglufjordur,Northeast,IS,10,66.13330078,-18.91670036,Atlantic/Reykjavik
BIST,SYK,Stykkisholmur Airport,Stykkisholmur,West,IS,42,65.05809784,-22.7942009,Atlantic/Reykjavik
BITE,TEY,Þingeyri Airport,Þingeyri,Westfjords,IS,65,65.87030029,-23.55999947,Atlantic/Reykjavik
BITN,THO,Thorshofn Airport,Thorshofn,Northeast,IS,65,66.21849823,-15.3355999,Atlantic/Reykjavik
BIVM,VEY,Vestmannaeyjar Airport,Vestmannaeyjar,South,IS,326,63.42430115,-20.27890015,Atlantic/Reykjavik
BIVO,VPN,Vopnafjorður Airport,Vopnafjorður,East,IS,16,65.72059631,-14.85060024,Atlantic/Reykjavik
BKPR,PRN,Pristina International Airport,Prishtina,Pristina,KS,1789,42.57279968,21.03580093,Europe/Belgrade
CAD4,YZZ,Trail Airport,Trail,British-Columbia,CA,1427,49.05559921,-117.6090012,America/Vancouver
CAJ4,YAA,Anahim Lake Airport,Anahim Lake,British-Columbia,CA,3635,52.45249939,-125.3030014,America/Vancouver
CAL3,DGF,Douglas Lake Airport,Douglas Lake,British-Columbia,CA,2770,50.16546005,-120.1712734,America/Vancouver
CAL4,JHL,Fort MacKay/Albian Aerodrome,Albian Village,Alberta,CA,1048,57.22389984,-111.4189987,America/Edmonton
CAM3,DUQ,Duncan Airport,Duncan,British-Columbia,CA,300,48.75453362,-123.7097025,America/Vancouver
CCA6,YWM,Williams Harbour Airport,Williams Harbour,Newfoundland-and-Labrador,CA,70,52.56689835,-55.78469849,America/St_Johns
CCK4,YFX,St. Lewis (Fox Harbour) Airport,St. Lewis,Newfoundland-and-Labrador,CA,74,52.37279892,-55.6739006,America/St_Johns
CCP4,YHA,Port Hope Simpson Airport,Port Hope Simpson,Newfoundland-and-Labrador,CA,347,52.52809906,-56.28609848,America/St_Johns
CCZ2,YRG,Rigolet Airport,Rigolet,Newfoundland-and-Labrador,CA,180,54.17969894,-58.45750046,America/Halifax
CDK2,DVK,Diavik Airport,Diavik,Northwest-Territories,CA,1413,64.51139832,-110.2890015,America/Yellowknife
CEB3,YCK,Colville Lake Airport,Colville Lake,Northwest-Territories,CA,850,67.03330231,-126.0830002,America/Yellowknife
CEM3,YLE,Whati Airport,Whati,Northwest-Territories,CA,882,63.13169861,-117.2460022,America/Edmonton
CER4,NML,Fort McMurray / Mildred Lake Airport,Fort McMurray,Alberta,CA,1046,57.05559921,-111.5739975,America/Edmonton
CEW3,ZSP,St. Paul Airport,St. Paul,Alberta,CA,2147,53.99330139,-111.3799973,America/Edmonton
CFF4,DAS,Great Bear Lake Airport,Great Bear Lake,Northwest-Territories,CA,562,66.70310211,-119.7070007,America/Yellowknife
CFG6,YFI,Fort Mackay / Firebag,Suncor Energy Site,Alberta,CA,1762,57.27583333,-110.9766667,America/Edmonton
CJV7,SUR,Summer Beaver Airport,Summer Beaver,Ontario,CA,832,52.70859909,-88.54190063,America/Toronto
CKB6,YAX,Wapekeka Airport,Angling Lake,Ontario,CA,712,53.8492012,-89.57939911,America/Winnipeg
CKL3,WNN,Wunnumin Lake Airport,Wunnumin Lake,Ontario,CA,819,52.89390183,-89.28919983,America/Winnipeg
CKQ3,YNO,North Spirit Lake Airport,North Spirit Lake,Ontario,CA,1082,52.49000168,-92.97109985,America/Winnipeg
CNE3,XBE,Bearskin Lake Airport,Bearskin Lake,Ontario,CA,800,53.96559906,-91.02719879,America/Winnipeg
CNM5,KIF,Kingfisher Lake Airport,Kingfisher Lake,Ontario,CA,866,53.01250076,-89.8553009,America/Toronto
CNT3,YOG,Ogoki Post Airport,Ogoki Post,Ontario,CA,594,51.65859985,-85.90170288,America/Toronto
CNV9, QC,Quebec / Neuville Airport,Neuville,Quebec,CA,314,46.72147597,-71.58549786,America/Toronto
CPF2,YEB,Bar River Airport,Bar River,Ontario,CA,591,46.42029953,-84.09220123,America/Toronto
CPV7,YHP,Poplar Hill Airport,Poplar Hill,Ontario,CA,1095,52.11330032,-94.25559998,America/Winnipeg
CSK6,YNX,Snap Lake Airport,Snap Lake,Northwest-Territories,CA,1557,63.59360123,-110.9059982,America/Yellowknife
CSU2,YKU,Chisasibi Airport,Chisasibi,Quebec,CA,43,53.80559921,-78.91690063,America/Toronto
CTB6,ZTB,Tete-a-la-Baleine Airport,Tete-a-la-Baleine,Quebec,CA,107,50.67440033,-59.38359833,America/Blanc-Sablon
CTP9,YAU,Donaldson Airport,Kattiniq,Quebec,CA,1902,61.66220093,-73.3214035,America/Toronto
CTU5,ZLT,La Tabatiere Airport,La Tabatiere,Quebec,CA,102,50.8307991,-58.9756012,America/Blanc-Sablon
CYAC,YAC,Cat Lake Airport,Cat Lake,Ontario,CA,1344,51.72719955,-91.82440186,America/Winnipeg
CYAD,YAR,La Grande-3 Airport,La Grande-3,Quebec,CA,775,53.57170105,-76.1964035,America/Toronto
CYAG,YAG,Fort Frances Municipal Airport,Fort Frances,Ontario,CA,1125,48.65420151,-93.43969727,America/Winnipeg
CYAH,YAH,La Grande-4 Airport,La Grande-4,Quebec,CA,1005,53.75469971,-73.6753006,America/Toronto
CYAL,YAL,Alert Bay Airport,Alert Bay,British-Columbia,CA,240,50.5821991,-126.9160004,America/Vancouver
CYAM,YAM,Sault Ste Marie Airport,Sault Ste Marie,Ontario,CA,630,46.48500061,-84.50939941,America/Toronto
CYAQ,XKS,Kasabonika Airport,Kasabonika,Ontario,CA,672,53.52470016,-88.64279938,America/Toronto
CYAS,YKG,Kangirsuk Airport,Kangirsuk,Quebec,CA,403,60.02719879,-69.99919891,America/Toronto
CYAT,YAT,Attawapiskat Airport,Attawapiskat,Ontario,CA,31,52.92750168,-82.43190002,America/Toronto
CYAW,YAW,Shearwater Airport,Halifax,Nova-Scotia,CA,144,44.637222,-63.502222,America/Halifax
CYAY,YAY,St. Anthony Airport,St. Anthony,Newfoundland-and-Labrador,CA,108,51.39189911,-56.08309937,America/St_Johns
CYAZ,YAZ,Tofino / Long Beach Airport,Tofino,British-Columbia,CA,80,49.07982555,-125.7756042,America/Vancouver
CYBB,YBB,Kugaaruk Airport,Kugaaruk,Nunavut,CA,56,68.53440094,-89.80809784,America/Edmonton
CYBC,YBC,Baie Comeau Airport,Baie-Comeau,Quebec,CA,71,49.13249969,-68.20439911,America/Toronto
CYBD,QBC,Bella Coola Airport,Bella Coola,British-Columbia,CA,117,52.38750076,-126.5960007,America/Vancouver
CYBE,YBE,Uranium City Airport,Uranium City,Saskatchewan,CA,1044,59.56140137,-108.4810028,America/Regina
