aircraft_id,aircraft_manufacturer,model,msn,delivery_date,first_flight_date,build_year,current_status
9810,Airbus,A300,142,05-27-81,04-03-81,1981,Stored
21234,Airbus,A300,143,06-03-81,04-08-81,1981,Stored
32149,Airbus,A300,144,06-11-81,04-16-81,1981,Scrapped
10936,Airbus,A300,145,06-15-81,04-23-81,1981,Stored
28274,Airbus,A300,146,06-26-81,05-04-81,1981,Scrapped
24233,Airbus,A300,147,07-24-81,05-11-81,1981,Written Off
20812,Airbus,A300,148,07-29-81,05-19-81,1981,Scrapped
19454,Airbus,A300,149,09-30-81,05-27-81,1981,Stored
19501,Airbus,A300,150,08-11-81,06-10-81,1981,Written Off
19287,Airbus,A300,151,08-18-81,06-09-81,1981,Active
24328,Airbus,A300,152,10-07-81,06-22-81,1981,Stored
6529,Airbus,A300,153,10-15-81,06-30-81,1981,Written Off
21042,Airbus,A300,154,11-09-81,07-07-81,1981,Stored
40250,Airbus,A300,155,10-09-81,08-12-81,1981,Stored
21245,Airbus,A300,156,02-02-82,10-28-81,1981,Stored
6112,Airbus,A300,157,10-09-81,08-24-81,1981,Active
32159,Airbus,A300,158,11-24-81,09-03-81,1981,Scrapped
16848,Airbus,A300,159,10-06-81,10-06-81,1981,Stored
25612,Airbus,A300,160,11-13-81,09-17-81,1981,Stored
21246,Airbus,A300,161,12-04-81,09-24-81,1981,Scrapped
6990,Airbus,A300,163,12-08-81,10-06-81,1981,Stored
8773,Airbus,A300,164,02-25-82,11-03-81,1981,Stored
21046,Airbus,A300,165,01-11-82,11-12-81,1981,Stored
7204,Airbus,A300,166,01-19-82,11-25-81,1981,Scrapped
28271,Airbus,A300,167,02-03-82,12-10-81,1981,Stored
19499,Airbus,A300,168,02-10-82,12-30-81,1981,Stored
25730,Airbus,A300,169,02-12-82,11-18-81,1981,Scrapped
21241,Airbus,A300,170,02-26-82,01-13-82,1982,Stored
4055,Airbus,A300,171,06-04-87,04-20-82,1982,Scrapped
3197,Airbus,A300,173,02-23-82,12-14-81,1981,Scrapped
8158,Airbus,A300,174,02-22-82,12-15-81,1981,Scrapped
17444,Airbus,A300,175,04-07-82,02-02-82,1982,Stored
16843,Airbus,A300,176,02-17-82,01-06-82,1982,Stored
21233,Airbus,A300,177,07-28-82,01-15-82,1982,Written Off
21060,Airbus,A300,178,03-10-82,01-21-82,1982,Scrapped
14145,Airbus,A300,179,07-05-85,05-05-82,1982,Scrapped
11891,Airbus,A300,180,08-10-82,06-17-82,1982,Scrapped
32623,Airbus,A300,181,05-24-82,03-18-82,1982,Scrapped
21256,Airbus,A300,182,05-27-82,03-26-82,1982,Scrapped
22563,Airbus,A300,183,04-15-82,02-25-82,1982,Active
3048,Airbus,A300,184,04-08-82,03-06-82,1982,Scrapped
19888,Airbus,A300,185,04-30-82,03-09-82,1982,Scrapped
20244,Airbus,A300,186,04-30-82,03-16-82,1982,Written Off
29638,Airbus,A300,187,05-12-82,03-23-82,1982,Stored
19059,Airbus,A300,188,05-28-82,04-13-82,1982,Scrapped
27501,Airbus,A300,189,05-17-82,04-02-82,1982,Scrapped
21231,Airbus,A300,190,11-05-82,08-02-82,1982,Written Off
28097,Airbus,A300,192,06-09-82,04-20-82,1982,Written Off
2050,Airbus,A300,193,06-22-82,04-28-82,1982,Stored
16849,Airbus,A300,194,06-23-82,05-04-82,1982,Scrapped
17946,Airbus,A300,195,12-21-84,09-16-82,1982,Stored
15671,Airbus,A300,196,06-30-82,05-13-82,1982,Written Off
773,Airbus,A300,197,07-23-82,06-01-82,1982,Scrapped
28156,Airbus,A300,198,12-21-84,10-08-82,1982,Stored
21030,Airbus,A300,199,08-16-82,06-09-82,1982,Scrapped
6530,Airbus,A300,200,08-25-82,06-17-82,1982,Written Off
24972,Airbus,A300,202,11-05-82,06-28-82,1982,Scrapped
38692,Airbus,A300,203,03-29-83,07-01-82,1982,Stored
20756,Airbus,A300,204,10-14-82,07-29-82,1982,Stored
14161,Airbus,A300,205,11-08-82,07-13-82,1982,Stored
14162,Airbus,A300,207,12-21-82,08-20-82,1982,Scrapped
21038,Airbus,A300,208,05-17-85,08-23-82,1982,Scrapped
19485,Airbus,A300,209,02-28-83,10-11-82,1982,Scrapped
4647,Airbus,A300,210,05-10-85,09-10-82,1982,Active
10243,Airbus,A300,211,12-22-82,09-15-82,1982,Stored
21061,Airbus,A300,212,10-29-82,09-17-82,1982,Stored
34853,Airbus,A300,213,11-10-82,09-29-82,1982,Stored
29245,Airbus,A300,214,11-16-82,10-06-82,1982,Written Off
20769,Airbus,A300,215,11-23-82,10-13-82,1982,Stored
29645,Airbus,A300,216,12-22-82,10-18-82,1982,Written Off
3620,Airbus,A300,218,12-01-83,10-29-82,1982,Stored
25591,Airbus,A300,219,03-29-83,11-04-82,1982,Scrapped
11896,Airbus,A300,220,12-29-82,11-05-82,1982,Stored
11454,Airbus,A300,221,12-21-82,11-18-82,1982,Scrapped
21247,Airbus,A300,222,12-23-82,11-22-82,1982,Scrapped
14160,Airbus,A300,225,01-31-83,12-16-82,1982,Scrapped
21224,Airbus,A300,226,01-31-83,12-13-82,1982,Scrapped
24824,Airbus,A300,227,12-21-84,03-01-83,1983,Active
2094,Airbus,A300,232,07-27-83,01-03-83,1983,Stored
3639,Airbus,A300,234,03-29-85,07-18-83,1983,Scrapped
34048,Airbus,A300,235,04-25-85,01-18-83,1983,Stored
4573,Airbus,A300,236,03-18-85,10-18-83,1983,Scrapped
21027,Airbus,A300,238,04-25-85,02-24-83,1983,Stored
20757,Airbus,A300,239,04-11-83,02-14-83,1983,Scrapped
17215,Airbus,A300,240,05-03-83,02-18-83,1983,Scrapped
14144,Airbus,A300,243,07-12-83,03-04-83,1983,Stored
3244,Airbus,A300,244,04-22-83,03-09-83,1983,Stored
24435,Airbus,A300,247,12-21-84,09-09-83,1983,Active
11137,Airbus,A300,249,03-08-85,06-23-83,1983,Stored
10316,Airbus,A300,250,04-25-86,05-31-83,1983,Written Off
27053,Airbus,A300,252,07-08-83,07-08-83,1983,Written Off
14165,Airbus,A300,253,06-16-83,05-04-83,1983,Stored
1647,Airbus,A300,255,07-04-83,05-11-83,1983,Active
9787,Airbus,A300,256,03-25-86,05-18-83,1983,Active
21025,Airbus,A300,259,12-16-83,08-17-83,1983,Stored
9703,Airbus,A300,261,12-16-83,08-25-83,1983,Stored
17720,Airbus,A300,262,05-06-86,11-17-83,1983,Scrapped
19014,Airbus,A300,265,03-28-85,08-10-83,1983,Stored
23043,Airbus,A300,268,09-09-83,07-29-83,1983,Written Off
3638,Airbus,A300,269,09-22-83,08-12-83,1983,Stored
16847,Airbus,A300,271,12-19-83,09-01-83,1983,Scrapped
16389,Airbus,A300,274,12-19-83,09-20-83,1983,Scrapped
25959,Airbus,A300,277,08-05-86,09-29-83,1983,Active
21243,Airbus,A300,282,09-13-84,10-13-83,1983,Written Off
27977,Airbus,A300,284,11-15-83,11-15-83,1983,Stored
9694,Airbus,A300,289,04-25-86,11-22-83,1983,Stored
23524,Airbus,A300,292,08-06-86,10-31-84,1984,Active
13244,Airbus,A300,294,04-09-84,12-20-83,1983,Stored
21240,Airbus,A300,299,12-12-86,08-09-84,1984,Active
7073,Airbus,A300,301,03-25-84,01-03-84,1984,Stored
6016,Airbus,A300,302,03-13-87,11-14-84,1984,Scrapped
9786,Airbus,A300,304,04-25-85,01-02-85,1985,Scrapped
21239,Airbus,A300,305,03-29-85,12-30-84,1984,Scrapped
8034,Airbus,A300,307,04-03-84,02-02-84,1984,Stored
25729,Airbus,A300,312,04-20-84,02-20-84,1984,Stored
4336,Airbus,A300,317,04-28-84,03-07-84,1984,Written Off
5770,Airbus,A300,321,05-14-84,03-29-84,1984,Stored
14141,Airbus,A300,327,05-30-84,04-12-84,1984,Written Off
21160,Airbus,A300,332,06-08-84,04-26-84,1984,Written Off
21139,Airbus,A300,336,07-04-84,05-29-84,1984,Stored
32794,Airbus,A300,341,08-18-84,06-28-84,1984,Written Off
1773,Airbus,A300,344,08-31-84,06-16-84,1984,Active
6617,Airbus,A300,348,08-27-84,07-10-84,1984,Stored
4337,Airbus,A300,351,10-08-84,07-23-84,1984,Stored
16827,Airbus,A300,354,09-30-85,12-10-84,1984,Written Off
16829,Airbus,A300,358,03-11-88,03-05-86,1986,Stored
10013,Airbus,A300,361,08-04-87,09-05-86,1986,Active
4900,Airbus,A300,365,08-31-87,03-25-87,1987,Stored
14018,Airbus,A300,368,09-26-85,07-01-85,1985,Scrapped
13986,Airbus,A300,371,09-27-85,07-12-85,1985,Scrapped
21165,Airbus,A300,374,12-05-85,10-02-85,1985,Written Off
15397,Airbus,A300,377,12-06-85,09-16-85,1985,Scrapped
10273,Airbus,A300,380,03-12-87,12-31-86,1986,Active
18753,Airbus,A300,384,02-03-86,11-27-85,1985,Scrapped
22880,Airbus,A300,388,11-05-86,11-05-86,1986,Active
18119,Airbus,A300,391,03-26-87,01-08-87,1987,Scrapped
28227,Airbus,A300,395,10-09-86,08-13-86,1986,Scrapped
19592,Airbus,A300,398,12-18-86,09-25-86,1986,Scrapped
7072,Airbus,A300,401,04-02-87,02-02-87,1987,Active
14140,Airbus,A300,405,04-18-87,02-03-87,1987,Active
39988,Airbus,A300,408,04-30-87,02-23-87,1987,Active
19489,Airbus,A300,411,06-05-87,03-27-87,1987,Active
21136,Airbus,A300,414,06-25-87,04-17-87,1987,Active
16828,Airbus,A300,417,04-28-89,06-01-87,1987,Stored
24017,Airbus,A300,420,07-12-88,12-09-87,1987,Written Off
33129,Airbus,A300,423,04-21-88,02-10-88,1988,Written Off
25606,Airbus,A300,459,05-11-88,03-04-88,1988,Written Off
4297,Airbus,A300,460,05-31-88,03-22-88,1988,Written Off
21167,Airbus,A300,461,06-23-88,04-15-88,1988,Written Off
31589,Airbus,A300,462,06-10-88,03-18-88,1988,Scrapped
21158,Airbus,A300,463,06-29-88,04-25-88,1988,Written Off
9690,Airbus,A300,464,08-04-88,05-17-88,1988,Stored
17290,Airbus,A300,465,08-31-88,05-24-88,1988,Stored
24113,Airbus,A300,466,09-09-88,06-23-88,1988,Written Off
21172,Airbus,A300,469,09-19-88,06-17-88,1988,Written Off
33450,Airbus,A300,470,10-13-88,07-07-88,1988,Written Off
21816,Airbus,A300,471,10-25-88,08-23-88,1988,Stored
28000,Airbus,A300,474,11-15-88,09-08-88,1988,Written Off
28936,Airbus,A300,477,11-29-88,10-03-88,1988,Active
15433,Airbus,A300,479,12-13-88,09-20-88,1988,Active
18649,Airbus,A300,505,05-16-89,10-19-88,1988,Stored
10482,Airbus,A300,506,02-02-89,11-16-88,1988,Stored
18542,Airbus,A300,507,02-15-89,11-23-88,1988,Written Off
16658,Airbus,A300,508,02-23-89,12-06-88,1988,Written Off
16851,Airbus,A300,509,02-28-89,12-22-88,1988,Stored
33832,Airbus,A300,510,03-23-89,01-12-89,1989,Written Off
28108,Airbus,A300,511,04-06-89,01-24-89,1989,Written Off
13981,Airbus,A300,512,04-20-89,02-10-89,1989,Written Off
33995,Airbus,A300,513,04-26-89,03-01-89,1989,Stored
28014,Airbus,A300,514,05-23-89,03-13-89,1989,Stored
25142,Airbus,A300,515,06-01-89,03-21-89,1989,Written Off
13120,Airbus,A300,516,06-15-89,04-10-89,1989,Stored
28107,Airbus,A300,517,06-28-89,05-03-89,1989,Written Off
34890,Airbus,A300,518,06-30-89,05-12-89,1989,Stored
2180,Airbus,A300,521,11-24-89,06-02-89,1989,Active
25149,Airbus,A300,525,12-18-89,07-19-89,1989,Active
10991,Airbus,A300,529,09-25-89,07-10-89,1989,Stored
3006,Airbus,A300,530,12-13-89,07-25-89,1989,Active
2192,Airbus,A300,532,12-01-89,09-06-89,1989,Active
25153,Airbus,A300,533,11-17-89,09-15-89,1989,Written Off
3005,Airbus,A300,536,12-15-89,10-11-89,1989,Active
15863,Airbus,A300,540,03-15-90,09-28-89,1989,Scrapped
21933,Airbus,A300,543,01-16-90,11-09-89,1989,Active
18117,Airbus,A300,546,02-02-90,11-06-89,1989,Scrapped
28002,Airbus,A300,553,03-06-90,12-08-89,1989,Active
7815,Airbus,A300,554,03-12-90,01-11-90,1990,Stored
12695,Airbus,A300,555,03-22-90,01-12-90,1990,Active
2084,Airbus,A300,556,04-17-90,02-14-90,1990,Scrapped
21191,Airbus,A300,557,05-29-90,02-27-90,1990,Active
26070,Airbus,A300,558,06-11-90,03-20-90,1990,Stored
28036,Airbus,A300,559,06-07-90,04-12-90,1990,Active
25152,Airbus,A300,560,06-29-90,04-25-90,1990,Scrapped
15435,Airbus,A300,561,08-23-90,06-25-90,1990,Active
29252,Airbus,A300,563,09-24-90,07-11-90,1990,Stored
8638,Airbus,A300,566,10-16-90,08-14-90,1990,Written Off
28020,Airbus,A300,569,11-09-90,09-04-90,1990,Scrapped
28019,Airbus,A300,572,11-20-90,09-13-90,1990,Active
9661,Airbus,A300,575,12-10-90,09-19-90,1990,Active
8027,Airbus,A300,577,12-04-90,10-02-90,1990,Scrapped
22962,Airbus,A300,578,12-14-90,10-16-90,1990,Written Off
12696,Airbus,A300,579,02-11-91,10-25-90,1990,Active
7830,Airbus,A300,580,01-29-91,10-30-90,1990,Written Off
11447,Airbus,A300,581,07-19-91,11-16-90,1990,Active
21178,Airbus,A300,582,02-26-91,11-29-90,1990,Stored
2532,Airbus,A300,583,02-26-91,12-06-90,1990,Written Off
12047,Airbus,A300,584,04-03-91,12-14-90,1990,Active
588,Airbus,A300,601,08-27-91,01-11-91,1991,Written Off
32622,Airbus,A300,602,04-25-91,01-23-91,1991,Active
13466,Airbus,A300,603,08-19-91,01-30-91,1991,Active
7056,Airbus,A300,604,04-26-91,02-13-91,1991,Written Off
28003,Airbus,A300,605,05-03-91,02-26-91,1991,Scrapped
14146,Airbus,A300,606,05-23-91,03-08-91,1991,Written Off
28898,Airbus,A300,607,09-05-91,03-26-91,1991,Active
35518,Airbus,A300,608,06-13-91,04-10-91,1991,Active
21184,Airbus,A300,609,07-03-91,04-19-91,1991,Stored
21182,Airbus,A300,610,07-11-91,05-06-91,1991,Written Off
27723,Airbus,A300,611,08-22-91,05-24-91,1991,Active
1189,Airbus,A300,612,08-29-91,06-05-91,1991,Scrapped
945,Airbus,A300,613,09-24-91,06-14-91,1991,Active
2431,Airbus,A300,614,09-20-91,06-27-91,1991,Stored
11446,Airbus,A300,615,09-27-91,07-08-91,1991,Written Off
14884,Airbus,A300,616,12-16-91,08-21-91,1991,Written Off
5674,Airbus,A300,617,11-18-91,08-22-91,1991,Active
23042,Airbus,A300,618,11-19-91,09-04-91,1991,Active
7055,Airbus,A300,619,12-09-91,09-18-91,1991,Written Off
14,Airbus,A300,621,01-27-92,10-02-91,1991,Active
11228,Airbus,A300,623,01-13-92,10-23-91,1991,Active
590,Airbus,A300,625,03-31-92,11-18-91,1991,Active
27447,Airbus,A300,626,04-08-92,12-03-91,1991,Active
21174,Airbus,A300,627,03-26-92,01-07-92,1992,Stored
33364,Airbus,A300,628,04-07-92,01-16-92,1992,Scrapped
31847,Airbus,A300,629,04-21-92,01-29-92,1992,Scrapped
16625,Airbus,A300,630,04-22-92,02-12-92,1992,Active
7207,Airbus,A300,631,05-19-92,02-26-92,1992,Stored
32765,Airbus,A300,632,06-04-92,03-11-92,1992,Active
806,Airbus,A300,633,06-30-92,04-01-92,1992,Active
5277,Airbus,A300,635,06-29-92,04-10-92,1992,Scrapped
11574,Airbus,A300,637,07-28-92,04-22-92,1992,Active
15541,Airbus,A300,639,07-24-92,05-05-92,1992,Written Off
25151,Airbus,A300,641,09-24-92,05-14-92,1992,Active
21936,Airbus,A300,643,09-11-92,06-09-92,1992,Active
21180,Airbus,A300,645,10-02-92,06-17-92,1992,Written Off
3622,Airbus,A300,655,10-25-95,09-13-94,1994,Active
11555,Airbus,A300,657,09-30-92,07-22-92,1992,Active
33722,Airbus,A300,659,10-29-92,07-27-92,1992,Active
16657,Airbus,A300,662,01-12-93,08-21-92,1992,Scrapped
22956,Airbus,A300,664,12-01-92,09-10-92,1992,Active
28024,Airbus,A300,666,12-10-92,09-25-92,1992,Scrapped
26071,Airbus,A300,668,12-17-92,10-27-92,1992,Active
28025,Airbus,A300,670,01-21-93,10-27-92,1992,Active
1190,Airbus,A300,673,05-28-93,11-10-92,1992,Scrapped
11109,Airbus,A300,675,02-19-93,11-25-92,1992,Scrapped
1193,Airbus,A300,677,03-02-93,12-03-92,1992,Active
28926,Airbus,A300,679,03-08-93,12-17-92,1992,Active
32621,Airbus,A300,681,03-18-93,01-04-93,1993,Stored
29522,Airbus,A300,683,06-16-93,01-27-93,1993,Active
14147,Airbus,A300,685,04-08-93,01-25-93,1993,Stored
24419,Airbus,A300,688,05-19-93,02-11-93,1993,Active
28015,Airbus,A300,690,06-21-93,03-11-93,1993,Written Off
4904,Airbus,A300,692,06-29-93,03-29-93,1993,Stored
28001,Airbus,A300,694,07-08-93,04-07-93,1993,Scrapped
27999,Airbus,A300,696,10-04-93,04-01-93,1993,Active
21159,Airbus,A300,699,07-22-93,04-21-93,1993,Stored
17285,Airbus,A300,701,08-31-93,05-17-93,1993,Active
26158,Airbus,A300,703,12-06-94,06-17-93,1993,Active
32200,Airbus,A300,705,10-05-93,07-12-93,1993,Scrapped
34112,Airbus,A300,707,10-22-93,07-16-93,1993,Active
7068,Airbus,A300,709,12-20-93,09-02-93,1993,Active
32591,Airbus,A300,711,12-15-93,09-20-93,1993,Active
7074,Airbus,A300,713,12-21-93,10-07-93,1993,Active
39347,Airbus,A300,715,12-23-93,10-07-93,1993,Active
32152,Airbus,A300,717,01-28-94,10-21-93,1993,Active
33321,Airbus,A300,719,01-21-94,11-05-93,1993,Stored
26519,Airbus,A300,721,02-01-94,11-18-93,1993,Stored
15434,Airbus,A300,722,03-16-94,12-02-93,1993,Active
15473,Airbus,A300,723,12-27-94,12-21-93,1993,Active
28037,Airbus,A300,724,04-11-95,03-01-94,1994,Active
31416,Airbus,A300,725,10-26-94,08-03-94,1994,Stored
8933,Airbus,A300,726,12-02-93,12-02-93,1993,Active
32220,Airbus,A300,727,12-27-94,01-18-94,1994,Active
28047,Airbus,A300,728,04-28-94,01-28-94,1994,Active
807,Airbus,A300,729,05-31-94,02-16-94,1994,Scrapped
1413,Airbus,A300,730,09-01-95,02-28-94,1994,Scrapped
35282,Airbus,A300,731,05-26-94,03-15-94,1994,Written Off
11949,Airbus,A300,732,06-28-94,04-14-94,1994,Active
